"experiment","round","tank","group_id","date","t_leave_s","t_l0_s","l0","reef_l0","l1","reef_l1","legs_l0","claws_l0","antenna_l0","legs_l1","claws_l1","antenna_l1","notes_exp","koura_id","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Group",4,1,4,2025-09-11,NA,NA,"A","SingleStone","B","FlatStone",8,2,2,8,2,2,NA,58,"M","M",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,1,4,2025-09-11,NA,NA,"D","StonePile","B","FlatStone",8,2,2,8,2,2,NA,59,"L","M",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,1,4,2025-09-11,NA,NA,"A","SingleStone","D","StonePile",8,2,2,8,2,2,NA,60,"L","M",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"A","WoodLog","B","FlatStone",6,2,1,5,2,0,NA,61,"S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"A","WoodLog","C","StonePile",4,1,1,4,1,1,NA,86,"S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"B","FlatStone","D","SingleStone",8,2,1,8,2,1,NA,63,"M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"A","WoodLog","A","WoodLog",5,2,2,5,2,2,NA,64,"M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"B","FlatStone","C","StonePile",8,2,2,8,2,2,NA,65,"L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,2,5,2025-09-11,NA,NA,"B","FlatStone","B","FlatStone",8,2,2,8,2,2,NA,66,"L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,3,6,2025-09-11,NA,NA,"D","FlatStone","D","FlatStone",7,1,2,7,1,2,NA,67,"S","M",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,3,6,2025-09-11,NA,NA,"C","SingleStone","D","FlatStone",8,2,2,8,2,2,NA,88,"S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
"Group",4,3,6,2025-09-11,NA,NA,"B","WoodLog","B","WoodLog",8,2,2,8,2,2,NA,69,"M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,3,6,2025-09-11,NA,NA,"C","SingleStone","B","WoodLog",8,2,2,8,2,2,NA,70,"M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,3,6,2025-09-11,NA,NA,"E","TankWall","D","FlatStone",8,2,2,8,2,2,NA,71,"L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,3,6,2025-09-11,NA,NA,"D","FlatStone","D","FlatStone",8,2,2,8,2,2,NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,4,1,2025-09-11,NA,NA,"C","FlatStone","A","StonePile",8,2,2,8,2,2,NA,37,"S","M",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,4,1,2025-09-11,NA,NA,"C","FlatStone","A","StonePile",8,2,2,8,2,2,NA,73,"S","M",21.15,6,8,2,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted, Lost last round of exp 3"
"Group",4,4,1,2025-09-11,NA,NA,"E","TankWall","A","StonePile",8,2,2,8,2,2,NA,39,"M","M",28.79,15,8,2,2,NA,NA,NA,NA,NA,2025-09-08,"Moulted"
"Group",4,4,1,2025-09-11,NA,NA,"C","FlatStone","C","FlatStone",6,1,2,6,1,2,NA,40,"M","M",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,4,1,2025-09-11,NA,NA,"A","StonePile","A","StonePile",8,2,2,8,2,2,NA,41,"L","M",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,4,1,2025-09-11,NA,NA,"A","StonePile","C","FlatStone",8,2,2,8,2,2,NA,42,"L","M",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,5,2,2025-09-11,NA,NA,"C","StonePile","C","StonePile",8,1,2,8,1,2,NA,43,"S","M",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,5,2,2025-09-11,NA,NA,"D","FlatStone","C","StonePile",7,2,2,7,2,2,NA,74,"S","M",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,5,2,2025-09-11,NA,NA,"D","FlatStone","D","FlatStone",8,1,2,8,1,2,NA,45,"M","M",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,5,2,2025-09-11,NA,NA,"D","FlatStone","D","FlatStone",7,2,2,8,2,2,NA,46,"M","M",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,5,2,2025-09-11,NA,NA,"D","FlatStone","C","StonePile",8,2,2,8,2,2,NA,47,"L","M",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
