"experiment","round","tank","group_id","date","next_day","structure_next_day","notes_exp","koura_id","old_id","sex","size_class","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Brick",4,5,10,2025-10-17,"C","ConcreteBrick",NA,32,13,"M","M",23.96,8,6,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"D","WoodBlock",NA,33,NA,"M","M",24.83,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"A","WoodBlock",NA,34,40,"M","M",25.55,10,6,0,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"D","WoodBlock",NA,35,NA,"M","M",28.52,14,5,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"B","ConcreteBrick",NA,36,NA,"M","M",26.4,12,7,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"B","ConcreteBrick",NA,37,NA,"M","M",26.6,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"B","ConcreteBrick",NA,38,NA,"M","M",24.32,8,5,1,1,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"A","WoodBlock",NA,39,NA,"M","M",24.99,10,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"A","WoodBlock",NA,40,NA,"M","M",27.17,14,8,2,2,NA,NA,NA,NA,NA,"45947",NA
"Brick",4,6,7,2025-10-17,"D","ConcreteBrick",NA,1,27,"F","M",28.66,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"B","WoodBlock",NA,2,30,"F","M",27.42,12,8,2,2,NA,NA,NA,NA,NA,"45946",NA
"Brick",4,6,7,2025-10-17,"C","WoodBlock",NA,3,18,"F","M",28.54,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"B","WoodBlock",NA,4,7,"F","L",30.81,20,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"B","WoodBlock",NA,5,NA,"F","S",20.21,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"A","ConcreteBrick",NA,6,NA,"F","M",23.21,8,6,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"D","ConcreteBrick",NA,7,35,"F","M",25.55,11,7,2,1,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"C","WoodBlock",NA,8,NA,"F","S",21.62,7,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"A","ConcreteBrick",NA,9,NA,"F","M",29.91,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,6,7,2025-10-17,"E","TankWall",NA,10,10,"F","M",26.41,12,6,2,2,NA,NA,NA,NA,NA,NA,NA
