"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
3,4,8,20,"M","F",2025-10-17,"L1","A","BrickWood",26.52,11,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,21,"M","M",2025-10-17,"L1","E","TankWall",25.39,9,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,22,"M","M",2025-10-17,"L1","C","BrickWood",28.55,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,23,"M","M",2025-10-17,"L1","C","BrickWood",24.46,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,24,"M","M",2025-10-17,"L1","E","TankWall",28.59,15,8,1,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,25,"M","M",2025-10-17,"L1","C","BrickWood",26.55,13,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,26,"M","M",2025-10-17,"L1","D","BrickConcrete",23.62,8,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,27,"M","M",2025-10-17,"L1","A","BrickConcrete",26.75,13,5,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,28,"M","M",2025-10-17,"L1","A","BrickConcrete",29.36,17,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,29,"M","M",2025-10-17,"L1","B","BrickWood",29.46,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,4,9,30,"M","M",2025-10-17,"L1","B","BrickWood",26.95,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,31,"M","M",2025-10-17,"L1","B","BrickConcrete",26.11,12,7,0,1,NA,NA,NA,NA,NA,NA,NA
5,4,10,32,"M","M",2025-10-17,"L1","C","BrickConcrete",23.96,8,6,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,33,"M","M",2025-10-17,"L1","D","BrickWood",24.83,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,34,"M","M",2025-10-17,"L1","A","BrickWood",25.55,10,6,0,2,NA,NA,NA,NA,NA,NA,NA
