"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
5,2,4,58,"M","M",NA,"L1","A","FlatStone",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,4,59,"L","M",NA,"L0","B","WoodSplit",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,59,"L","M",NA,"L1","B","WoodSplit",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,60,"L","M",NA,"L0","B","WoodSplit",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,4,60,"L","M",NA,"L1","A","FlatStone",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,61,"S","M",NA,"L0","B","WoodSplit",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,61,"S","M",NA,"L1","A","FlatStone",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,86,"S","M",NA,"L0","B","WoodSplit",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,86,"S","M",NA,"L1","A","FlatStone",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,63,"M","M",NA,"L0","A","FlatStone",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
6,2,5,63,"M","M",NA,"L1","A","FlatStone",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
6,2,5,64,"M","M",NA,"L0","B","WoodSplit",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,64,"M","M",NA,"L1","B","WoodSplit",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,65,"L","M",NA,"L0","B","WoodSplit",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,2,5,65,"L","M",NA,"L1","A","FlatStone",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,2,5,66,"L","M",NA,"L0","B","WoodSplit",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,5,66,"L","M",NA,"L1","A","FlatStone",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,61,"S","M",NA,"L0","B","WoodSplit",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,61,"S","M",NA,"L1","A","FlatStone",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,86,"S","M",NA,"L0","B","WoodSplit",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,86,"S","M",NA,"L1","B","WoodSplit",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,63,"M","M",NA,"L0","B","WoodSplit",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
1,3,5,63,"M","M",NA,"L1","B","WoodSplit",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
1,3,5,64,"M","M",NA,"L0","B","WoodSplit",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,64,"M","M",NA,"L1","A","FlatStone",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
